id_mc,id_blazar_mc,aper_mc,IAU_name_mc,ra2000_mc,dec2000_mc,name_mc,Rmag_mc,Rmagerr_mc,PolDeg_mc,ErrPolDeg_mc,PolAngle_mc,ErrPolAngle_mc
248,66,16,"","13 37 47.786","-12 56 55.93","B 1334-127 5",17.28,-99.0,,,,
249,67,16,"1553+113","15 55 43.044","+11 11 24.37","PG 1553+113",-99.0,-99.0,,,,
250,67,16,"","15 55 44.199","+11 11 09.33","PG 1553+113 1",16.2,-99.0,,,,
251,67,16,"","15 55 46.242","+11 11 38.22","PG 1553+113 2",15.7,-99.0,,,,
252,67,16,"","15 55 51.750","+11 12 29.06","PG 1553+113 3",14.6,-99.0,,,,
253,67,16,"","15 55 42.511","+11 09 21.49","PG 1553+113 4",14.7,-99.0,,,,
254,67,16,"","15 55 30.252","+11 10 51.67","PG 1553+113 5",15.7,-99.0,,,,
255,67,16,"","15 55 38.025","+11 12 04.23","PG 1553+113 6",16.5,-99.0,,,,
#256,68,16,"1741-038","17 43 58.86","-03 50 04.62","PKS 1741-038",-99.0,-99.0,,,,
257,69,16,"1959+650","19 59 59.8522","+65 08 54.668","B 1959+650",-99.0,-99.0,,,,
258,69,16,"","20 00 26.610","+65 09 27.18","B 1959+650 1",12.29,0.02,,,,
259,69,16,"","19 59 39.220","+65 08 53.91","B 1959+650 2",12.53,0.02,,,,
260,69,16,"","19 59 34.388","+65 06 20.27","B 1959+650 3",12.27,0.02,,,,
